user,tweet,date,likes,geo,coordinates,place,user_loc,query
ebrahymn,"RT @FunshoGabriel: @vanguardngrnews @officialABAT drop another Banga from Teslim Balogun Stadium.
BAT supporters are going to use APV/APC c…",2022-11-26 16:15:28+00:00,0,,,,SOMEWHERE SAFE,#Obidients
Peace46092694,"RT @MaaziChidi: Fellow #Obidients 
Today is my birthday and my only wish is that we all go out for @PeterObi and Baba Datti Ahmed. Get your…",2022-11-26 16:14:20+00:00,0,,,,,#Obidients
IfyPrisca3,"RT @its_murfy: In January, everyone was thinking about APC and PDP until Asake released “ them never see me coming “ booom 💣 💥 🔥 Peter Obi…",2022-11-26 16:14:02+00:00,0,,,,,#Obidients
kolason2010,"RT @realNmaElla: #Obidients pls gather o
Agbado na Mikano akolam onu o
They said you call yourself OBIdient tweeting up &amp; down yet you don'…",2022-11-26 16:11:28+00:00,0,,,,,#Obidients
EmmanuelOnuogu,RT @ikecibe: This picture constantly reminds me about the meaning of destiny. What is written is written. Let’s keep walking and working. #…,2022-11-26 16:10:46+00:00,0,,,,"Sapele, Nigeria",#Obidients
mrjaypappy1914,"When y'all BATist will be going to collect your apv and apc to vote Amoda, #Obidients already have our PVCs waiting to cast our votes https://t.co/DKPnjGpjCW",2022-11-26 16:08:29+00:00,0,,,,"Port Harcourt, Nigeria",#Obidients
CurrentucheUche,"RT @its_murfy: In January, everyone was thinking about APC and PDP until Asake released “ them never see me coming “ booom 💣 💥 🔥 Peter Obi…",2022-11-26 16:08:16+00:00,0,,,,"Lagos, Nigeria",#Obidients
UdoGbaShoe_,RT @Ollawaski: Finally PDPAPC merging together like I predicted earlier in the year. Strategy meetings going on underground to see how they…,2022-11-26 16:08:00+00:00,0,,,,"Ontario, Canada ",#Obidients
ejiroiyeghe,"RT @its_murfy: In January, everyone was thinking about APC and PDP until Asake released “ them never see me coming “ booom 💣 💥 🔥 Peter Obi…",2022-11-26 16:07:37+00:00,0,,,,,#Obidients
edehfelixc1,"RT @its_murfy: In January, everyone was thinking about APC and PDP until Asake released “ them never see me coming “ booom 💣 💥 🔥 Peter Obi…",2022-11-26 16:06:22+00:00,0,,,,@the land of the free ,#Obidients
Kyrianchuks1,"RT @oldcovenant: Are you ready!!!

Gwagwalada!!! The Peter Obi 🚆 is coming to your City.

#PeterObi4President2023 #Obidients #PeterObiForPr…",2022-11-26 16:02:54+00:00,0,,,,Nigeria,#Obidients
Fishfmlagos,"Tinubu supporters go and take your APV ooo and u must vote

#Obidients let's get ready with our PVC, we are winning this election https://t.co/opv0RDPChG",2022-11-26 16:00:22+00:00,0,,,,United States,#Obidients
NdidiUwechue,"#Nigeria #Igbo #Yoruba #Obidients Freedom! Talk Radio
On Sat 26 Nov at 7pm 🇳🇬 time. See poster for details.
Link: 
https://t.co/g4Bdfw8Tb6
#NINASisRight #NINASPlanIsTheAnswer
#WeStandWithNINAS #TransitionNow #EndSARS https://t.co/FAOlcqfo3E",2022-11-26 16:00:01+00:00,0,,,,,#Obidients
Ijlucy2,"RT @realNmaElla: #Obidients pls gather o
Agbado na Mikano akolam onu o
They said you call yourself OBIdient tweeting up &amp; down yet you don'…",2022-11-26 15:59:28+00:00,0,,,,"Lagos, Nigeria",#Obidients
TosinWeyinmi,"RT @Banjy47: Patriots never run from any battle, they fight to the finish no matter what.
 @ibekemed took on the battalion of the #Obidient…",2022-11-26 15:59:08+00:00,0,,,,,#Obidients
Ifeanyichukwuom,"RT @CNWAOKOBIAJNR: How more painful can the present madness be? The whole of 6th Avenue, 69 Road &amp; its environ in d FCT, Abuja in total dar…",2022-11-26 15:57:45+00:00,0,,,,Lagos Nigeria,#Obidients
Asawana001,"RT @blckchidon3: I asked Mr Kevin, where did he belong, because few weeks ago I saw him in PDP rally and this week again, I saw him in APC…",2022-11-26 15:57:12+00:00,0,,,,"Lagos, Nigeria",#Obidients
KestinoLee,"RT @CNWAOKOBIAJNR: How more painful can the present madness be? The whole of 6th Avenue, 69 Road &amp; its environ in d FCT, Abuja in total dar…",2022-11-26 15:57:07+00:00,0,,,,"Abuja, Nigeria",#Obidients
Ladyfetcher1,"RT @its_murfy: In January, everyone was thinking about APC and PDP until Asake released “ them never see me coming “ booom 💣 💥 🔥 Peter Obi…",2022-11-26 15:51:25+00:00,0,,,,Nigeria,#Obidients
nobleman04n2,"RT @Kings_CEO: Ok, Doyin Okupe embezzled your campaign fund therefore, #PeterObi SHOULD SUSPEND RALLY? 😆 🤣 😂

Like na you fund the othe ral…",2022-11-26 15:49:21+00:00,0,,,,,#Obidients
realNmaElla,"#Obidients pls gather o
Agbado na Mikano akolam onu o
They said you call yourself OBIdient tweeting up &amp; down yet you don't have followers
OBIdient queue up o let's jam each other 
RT for me o @ObidienTV",2022-11-26 15:48:51+00:00,2,,,,,#Obidients
ogbeni_dee,"RT @Omotayo84413462: I am picking now.......
...
Must follow our sponsor and say a words of prayers for him....@blessed4ever_10 
@blessed4e…",2022-11-26 15:45:55+00:00,0,,,,"Abuja, Nigeria",#Obidients
young37th,"RT @akintollgate: BAT aka Bala Blu BuLaBa, a man who cannot show you his family home, siblings, proof of education or confirm his own name…",2022-11-26 15:45:06+00:00,0,,,,abuja,#Obidients
justi9_justin,"RT @McMofe: From 8 months ASUU strike to crazy DOLLAR rate,  FUEL SCARCITY while fuel is over 200/ltr and you want people to support APC wi…",2022-11-26 15:43:50+00:00,0,,,,,#Obidients
ramanibilikis,"RT @Omotayo84413462: I am picking now.......
...
Must follow our sponsor and say a words of prayers for him....@blessed4ever_10 
@blessed4e…",2022-11-26 15:42:19+00:00,0,,,,"Ijebu-Ode, Nigeria",#Obidients
_ezeamakaa,"RT @FunshoGabriel: @vanguardngrnews @officialABAT drop another Banga from Teslim Balogun Stadium.
BAT supporters are going to use APV/APC c…",2022-11-26 15:41:40+00:00,0,,,,Nigeria,#Obidients
Ollawaski,"Finally PDPAPC merging together like I predicted earlier in the year. Strategy meetings going on underground to see how they can halt the #Obidients. 

How can u stop something that is amorphous &amp; structureless ?🤣😂 https://t.co/xUzpsCUPIE",2022-11-26 15:41:38+00:00,0,,,,🇳🇬 🇬🇧 ,#Obidients
lexy4u2nv,RT @BetterNigerian: Please donate‼️‼️ A clean and clear campaign needs donations from it’s citizens. That’s how it’s done in other countrie…,2022-11-26 15:41:21+00:00,0,,,,"Lagos, Nigeria",#Obidients
EmekaKe02152820,"RT @GRVlagos: Join us this evening.
#NigeriaForPeter #EkoForGbadebo #itisPOssible #ourlagos #obidients https://t.co/MvXEdRP3Sl",2022-11-26 15:39:05+00:00,0,,,,,#Obidients
MiBossLady,"RT @EmekaAmakeze: While #Obidients brag about a more prosperous and secure Nigeria under a @PeterObi presidency, Atiku and Tinubu supporter…",2022-11-26 15:37:14+00:00,0,,,,,#Obidients
THETHIRDFORUM,"RT @CNWAOKOBIAJNR: How more painful can the present madness be? The whole of 6th Avenue, 69 Road &amp; its environ in d FCT, Abuja in total dar…",2022-11-26 15:36:27+00:00,0,,,,"Abuja, Nigeria",#Obidients
citylake231,"RT @akintollgate: BAT aka Bala Blu BuLaBa, a man who cannot show you his family home, siblings, proof of education or confirm his own name…",2022-11-26 15:36:24+00:00,0,,,,,#Obidients
Joejohnseen,"RT @CNWAOKOBIAJNR: How more painful can the present madness be? The whole of 6th Avenue, 69 Road &amp; its environ in d FCT, Abuja in total dar…",2022-11-26 15:36:10+00:00,0,,,,Nigeria,#Obidients
MaziJegz,"RT @akintollgate: BAT aka Bala Blu BuLaBa, a man who cannot show you his family home, siblings, proof of education or confirm his own name…",2022-11-26 15:35:15+00:00,0,,,,every where,#Obidients
koko__wears,"@Herdunney1 @blessed4ever_10 #Obidient #obidients 
Mtn https://t.co/87H3PJvFFn",2022-11-26 15:34:26+00:00,0,,,,Lagos ,#Obidients
EmmanuelEmmyboy,"RT @its_murfy: In January, everyone was thinking about APC and PDP until Asake released “ them never see me coming “ booom 💣 💥 🔥 Peter Obi…",2022-11-26 15:34:11+00:00,0,,,,"Jos, Nigeria",#Obidients
justlyff,RT @Johnsonamaechi: Mr. Peter Obi @PeterObi at the Dominion City @dominioncitylag #LagosNightOfGlory that held at the fully packed National…,2022-11-26 15:32:53+00:00,0,,,,LAGOS,#Obidients
BlondeSteven,"RT @CNWAOKOBIAJNR: How more painful can the present madness be? The whole of 6th Avenue, 69 Road &amp; its environ in d FCT, Abuja in total dar…",2022-11-26 15:32:20+00:00,0,,,,,#Obidients
stanosky1,RT @iambekong: #Obidients this should be trending https://t.co/VVdd89IWFB,2022-11-26 15:32:03+00:00,0,,,,"Awka,Nigeria",#Obidients
neroaduke,"RT @CNWAOKOBIAJNR: How more painful can the present madness be? The whole of 6th Avenue, 69 Road &amp; its environ in d FCT, Abuja in total dar…",2022-11-26 15:31:25+00:00,0,,,,"Manzaneque, España",#Obidients
MoreMoneyTips3,"RT @FunshoGabriel: @vanguardngrnews @officialABAT drop another Banga from Teslim Balogun Stadium.
BAT supporters are going to use APV/APC c…",2022-11-26 15:31:11+00:00,0,,,,United States,#Obidients
DLASTBLACKSHEEP,"Nobody: 

Sapa: kese kese leshi ri,kasa kasa nbo lono 🥵

#Obidients @bod_republic @BunkMate_420",2022-11-26 15:30:36+00:00,0,,,,,#Obidients
OfficialZodi1,"RT @oldcovenant: Are you ready!!!

Gwagwalada!!! The Peter Obi 🚆 is coming to your City.

#PeterObi4President2023 #Obidients #PeterObiForPr…",2022-11-26 15:29:13+00:00,0,,,,,#Obidients
iam_Daposh,#PeterObiForPresident2023 #ObiDatti2023 #OBIdientlyYUSful #Obidients https://t.co/xaaJHJbfAx,2022-11-26 15:29:09+00:00,0,,,,"London, UK",#Obidients
koko__wears,"@Omotayo84413462 @blessed4ever_10 God will reward your good deed, @adebayoadedoy @timi_adetayo @AdetonaYetunde3 #ObiDatti2023 #Obidient #Obidients https://t.co/sbVYKORNcb",2022-11-26 15:29:08+00:00,0,,,,Lagos ,#Obidients
Dboss_Neche,"RT @FunshoGabriel: @vanguardngrnews @officialABAT drop another Banga from Teslim Balogun Stadium.
BAT supporters are going to use APV/APC c…",2022-11-26 15:29:03+00:00,0,,,,where there's money,#Obidients
Gideon23497203,"RT @EmekaAmakeze: While #Obidients brag about a more prosperous and secure Nigeria under a @PeterObi presidency, Atiku and Tinubu supporter…",2022-11-26 15:28:54+00:00,0,,,,,#Obidients
AkinolaAjilore,RT @iambekong: #Obidients this should be trending https://t.co/VVdd89IWFB,2022-11-26 15:27:55+00:00,0,,,,Lagos Nigeria,#Obidients
Arizona__PC,"RT @slik_e: I need someone to Comradify this picture for me please. 
Multiple comrades are encouraged to jump in!!!
#Obidients #comradememe…",2022-11-26 15:27:44+00:00,0,,,,"Lagos, Nigeria",#Obidients
I_WILLTESTIFY,"RT @SINCERELOGISTIC: Please my people, i sell properties in Abuja Nigeria. Lands of 5 million naira is available. Duplexes, terrace duplexe…",2022-11-26 15:27:26+00:00,0,,,,baptis me in your love lord. ,#Obidients
yekeen001,"RT @akintollgate: BAT aka Bala Blu BuLaBa, a man who cannot show you his family home, siblings, proof of education or confirm his own name…",2022-11-26 15:27:12+00:00,0,,,,"Dover Air Force Base, DE",#Obidients
NwaokobiaJnr,"RT @CNWAOKOBIAJNR: How more painful can the present madness be? The whole of 6th Avenue, 69 Road &amp; its environ in d FCT, Abuja in total dar…",2022-11-26 15:26:43+00:00,0,,,,"Abuja, Nigeria",#Obidients
kills_nkem,RT @iambekong: #Obidients this should be trending https://t.co/VVdd89IWFB,2022-11-26 15:26:37+00:00,0,,,,"Lagos, Nigeria",#Obidients
Madukaobi7679,"RT @CNWAOKOBIAJNR: How more painful can the present madness be? The whole of 6th Avenue, 69 Road &amp; its environ in d FCT, Abuja in total dar…",2022-11-26 15:25:48+00:00,0,,,,"Prince George, VA",#Obidients
ChidonBillions,"RT @CNWAOKOBIAJNR: How more painful can the present madness be? The whole of 6th Avenue, 69 Road &amp; its environ in d FCT, Abuja in total dar…",2022-11-26 15:21:35+00:00,0,,,,24/7 Twitter ,#Obidients
OLAYINKA_OP,"RT @CNWAOKOBIAJNR: How more painful can the present madness be? The whole of 6th Avenue, 69 Road &amp; its environ in d FCT, Abuja in total dar…",2022-11-26 15:20:45+00:00,0,,,,"Lagos, Nigeria",#Obidients
AnshwaSusan,"RT @oldcovenant: Are you ready!!!

Gwagwalada!!! The Peter Obi 🚆 is coming to your City.

#PeterObi4President2023 #Obidients #PeterObiForPr…",2022-11-26 15:19:58+00:00,0,,,,,#Obidients
Olufunmilade_13,"RT @CNWAOKOBIAJNR: How more painful can the present madness be? The whole of 6th Avenue, 69 Road &amp; its environ in d FCT, Abuja in total dar…",2022-11-26 15:19:39+00:00,0,,,,Nigeria,#Obidients
Aristotle112000,"RT @CNWAOKOBIAJNR: How more painful can the present madness be? The whole of 6th Avenue, 69 Road &amp; its environ in d FCT, Abuja in total dar…",2022-11-26 15:18:25+00:00,0,,,,,#Obidients
CNWAOKOBIAJNR,"How more painful can the present madness be? The whole of 6th Avenue, 69 Road &amp; its environ in d FCT, Abuja in total darkness for 48hours. The shame of a nation. And they're campaigning 4 continuity as businesses suffer. #GodForbid #VoteThemOut #ANewNigeriaIsPossible #Obidients",2022-11-26 15:18:01+00:00,27,,,,"Abuja, Nigeria",#Obidients
Omeokachie2,"RT @akintollgate: BAT aka Bala Blu BuLaBa, a man who cannot show you his family home, siblings, proof of education or confirm his own name…",2022-11-26 15:16:49+00:00,0,,,,,#Obidients
AgitanWealth,Congratulations! #OBIdients family https://t.co/rhbB46iR3q,2022-11-26 15:15:04+00:00,0,,,"Place(_api=<tweepy.api.API object at 0x10e3b3c88>, id='013e845e2be6b2c1', url='https://api.twitter.com/1.1/geo/id/013e845e2be6b2c1.json', place_type='city', name='Otta', full_name='Otta, Nigeria', country_code='NG', country='Nigeria', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x10e3b3c88>, type='Polygon', coordinates=[[[3.1457515, 6.6488815], [3.2680848, 6.6488815], [3.2680848, 6.7392152], [3.1457515, 6.7392152]]]), attributes={})",All Over The World!,#Obidients
FrankEkubiat,"Dear #Obidients,
please start, no matter how hard it is.

Start something for yourself. You won't work for someone for ever.

The hardest part may be starting, In due time you will be glad you did",2022-11-26 15:14:51+00:00,1,,,,,#Obidients
GreenCasshy,"RT @its_murfy: In January, everyone was thinking about APC and PDP until Asake released “ them never see me coming “ booom 💣 💥 🔥 Peter Obi…",2022-11-26 15:14:21+00:00,0,,,,Next,#Obidients
