user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc
UOgwurumba,rt @obidinanwad: this is the whole point. a peter obi win will pull down the gate set against competent people getting into nigerian politi…,2022-11-26 16:25:24+00:00,0,,,,ALMIGHTY GOD,Peter obi,False,unknown,obi_labour,rt @user this is the whole point. a peter obi win will pull down the gate set against competent people getting into nigerian politi…
the_pronoia,"rt @aishayesufu: all of us are chief fundraisers - peter obi
my name is aisha yesufu and 
#iamobidattichieffundraiser. what about you? 🤗

o…",2022-11-26 16:25:23+00:00,0,,,,Nirvana,Peter obi,False,unknown,obi_labour,"rt @user all of us are chief fundraisers - peter obi
my name is aisha yesufu and 
#iamobidattichieffundraiser. what about you? 🤗

o…"
GamiFdr,"rt @drtheodo: peter obi - we must stop anyone that's drinking our crude oil and give them water to drink instead 😅😅.

this one na to who it…",2022-11-26 16:25:23+00:00,0,,,,Washington DC and Nigeria,Peter obi,True,unknown,obi_labour,"rt @user peter obi - we must stop anyone that's drinking our crude oil and give them water to drink instead 😅😅.

this one na to who it…"
lylatechLTD,"rt @dr_chazduke: @peterobi napoleon rightly said, “a leader is a dealer in hope.” successful leaders inspire hope and that is what peter ob…",2022-11-26 16:25:22+00:00,0,,,,"Philomena street, Ayobo, Lagos",Peter obi,False,unknown,obi_labour,"rt @user @user napoleon rightly said, “a leader is a dealer in hope.” successful leaders inspire hope and that is what peter ob…"
bimboobarogmai1,"rt @igweodyssey: within a few months of adopting peter obi as candidate, labour party got solid presence &amp; structure in all corners of nige…",2022-11-26 16:25:22+00:00,0,,,,,Peter obi,False,unknown,obi_labour,"rt @user within a few months of adopting peter obi as candidate, labour party got solid presence &amp; structure in all corners of nige…"
Racklife247,"rt @iamkelex: rufai is a national treasure, and must be protected at all cost.
please kindly retweet.

tinubu tompolo naira #breaking_news…",2022-11-26 16:25:20+00:00,0,,,,Lagos ,Peter obi,False,lagos,tinubu_apc,"rt @user rufai is a national treasure, and must be protected at all cost.
please kindly retweet.

tinubu tompolo naira #breaking_news…"
MosesOleka,"rt @chude__: you need to see how peter obi puts in effort to speak to nigerians at every given opportunity.

peter obi will engage you no m…",2022-11-26 16:25:20+00:00,0,,,,"Lagos, Nigeria",Peter obi,True,lagos,obi_labour,"rt @user you need to see how peter obi puts in effort to speak to nigerians at every given opportunity.

peter obi will engage you no m…"
OrokOfAges,rt @jaypeegeneral: the moment peter obi was introduced at the 2022 agm/national conference of the nigerian institute of architects. everyon…,2022-11-26 16:25:20+00:00,0,,,,Calabar,Peter obi,False,unknown,obi_labour,rt @user the moment peter obi was introduced at the 2022 agm/national conference of the nigerian institute of architects. everyon…
EsquireMagic,"rt @josephonuorah: 🔥🔥🔥🦅🦅

no regiment of army can stop this idea!

the time is here. 

permit me to introduce to you the next president of…",2022-11-26 16:25:19+00:00,0,,,,Nigeria,Peter obi,True,unknown,,"rt @user 🔥🔥🔥🦅🦅

no regiment of army can stop this idea!

the time is here. 

permit me to introduce to you the next president of…"
Bossan100,rt @multimeverse: mobilization groups and everyone talking to people about peter obi (all of us) we need to start making sure labour party…,2022-11-26 16:25:18+00:00,0,,,,Nigeria,Peter obi,True,unknown,obi_labour,rt @user mobilization groups and everyone talking to people about peter obi (all of us) we need to start making sure labour party…
