user,tweet,date,likes,geo,coordinates,place,user_loc,query
UOgwurumba,RT @ObidinanwaD: This is the whole point. A Peter Obi win will pull down the gate set against competent people getting into Nigerian politi…,2022-11-26 16:25:24+00:00,0,,,,ALMIGHTY GOD,Peter obi
the_pronoia,"RT @AishaYesufu: All of us are Chief Fundraisers - Peter Obi
My name is Aisha Yesufu and 
#IamObiDattiChiefFundraiser. What about you? 🤗

O…",2022-11-26 16:25:23+00:00,0,,,,Nirvana,Peter obi
GamiFdr,"RT @DrTheodo: Peter Obi - we must stop anyone that's drinking our crude oil and give them water to drink instead 😅😅.

This one na to who it…",2022-11-26 16:25:23+00:00,0,,,,Washington DC and Nigeria,Peter obi
lylatechLTD,"RT @Dr_chazduke: @PeterObi Napoleon rightly said, “A leader is a dealer in hope.” Successful leaders inspire hope and that is what Peter Ob…",2022-11-26 16:25:22+00:00,0,,,,"Philomena street, Ayobo, Lagos",Peter obi
bimboobarogmai1,"RT @IgweOdyssey: Within a few months of adopting Peter Obi as candidate, Labour Party got solid presence &amp; structure in all corners of Nige…",2022-11-26 16:25:22+00:00,0,,,,,Peter obi
Racklife247,"RT @iamkelex: Rufai is a national treasure, and must be protected at all cost.
Please Kindly RETWEET.

Tinubu Tompolo naira #BREAKING_NEWS…",2022-11-26 16:25:20+00:00,0,,,,Lagos ,Peter obi
MosesOleka,"RT @chude__: You need to see how Peter Obi puts in effort to speak to Nigerians at every given Opportunity.

Peter Obi will engage you no m…",2022-11-26 16:25:20+00:00,0,,,,"Lagos, Nigeria",Peter obi
OrokOfAges,RT @JaypeeGeneral: The moment Peter Obi was introduced at the 2022 AGM/National Conference of the Nigerian Institute of Architects. Everyon…,2022-11-26 16:25:20+00:00,0,,,,Calabar,Peter obi
EsquireMagic,"RT @JosephOnuorah: 🔥🔥🔥🦅🦅

No Regiment of Army can stop this idea!

The time is here. 

Permit me to introduce to you the Next President of…",2022-11-26 16:25:19+00:00,0,,,,Nigeria,Peter obi
Bossan100,RT @multimeverse: Mobilization groups and everyone talking to people about Peter obi (all of us) we need to start making sure labour party…,2022-11-26 16:25:18+00:00,0,,,,Nigeria,Peter obi
aiceegee,"RT @chude__: I look like I'm okay but deep down I need somebody to explain to me how Peter Obi managed to attend events in Owerri, Awka, En…",2022-11-26 16:25:18+00:00,0,,,,"Port Harcourt, Nigeria",Peter obi
Onlineguru_,"RT @hemharnuel: Take Back Naija for President Peter Obi.

Retweet massively if ObiDatti na your next president and vice president.

#TakeBa…",2022-11-26 16:25:18+00:00,0,,,,"Lagos, Nigeria",Peter obi
y_u_n_g_ancient,RT @multimeverse: Mobilization groups and everyone talking to people about Peter obi (all of us) we need to start making sure labour party…,2022-11-26 16:25:17+00:00,0,,,,"Lagos, Nigeria",Peter obi
Celesti66914624,"RT @PO_GrassRootM: Labour Party Sokoto State Secretariat.
Peter Obi is coming don't give up Nigerians. #PeterObi4President2023 https://t.co…",2022-11-26 16:25:17+00:00,0,,,,,Peter obi
Puzo49332840,RT @VictorIsrael_: Obidients!! The biggest conversation with Peter Obi and Yusuf Datti will be hitting our doorstep soon. This man doesn’t…,2022-11-26 16:25:15+00:00,0,,,,"Lagos, Nigeria",Peter obi
donciccio321,"RT @UchePOkoye: Aside from Anambra state, I doubt if there are other states in Nigeria, where Public Secondary schools are preferred over P…",2022-11-26 16:25:15+00:00,0,,,,"Iba, Nigeria",Peter obi
Fitzgerald_DA,RT @jeffphilips1: This movement dun turn armed robbery....INEC recognized Yahoo movement aka Obidient movement for Peter Obi🙆‍♂️🙆‍♂️🙆‍♂️ ht…,2022-11-26 16:25:15+00:00,0,,,,,Peter obi
PaulUkonu,"RT @Themannnaman: No one  was paid, it's. Just pure love and acceptance.
Peter obi is the people's choice and it's very obvious. https://t.…",2022-11-26 16:25:15+00:00,0,,,,Ur Mind,Peter obi
namdie_,"RT @Dr_chazduke: Did you know that Innoson Vehicles delivered Made in Nigeria vehicles worth $4.7 million to Sierra Leone Government?

God…",2022-11-26 16:25:15+00:00,0,,,,Asgard,Peter obi
Mss_piNKy,"RT @_weyimi: We need Peter Obi, it's not a joking matter.",2022-11-26 16:25:14+00:00,0,,,,Space,Peter obi
obisingledigit,"RT @ba55ey: Peter Obi still hustles like he has no supporter. Attending every interview and event.
Atiku confident his tribe will make it h…",2022-11-26 16:25:14+00:00,0,,,,Room 237,Peter obi
oduntutu,RT @DanjumaGarbaM: @Bulamacartoons I am a Muslim from the North and I Campaign for Peter Obi. The 1st and primary reason for anyone to vote…,2022-11-26 16:25:14+00:00,0,,,,,Peter obi
Arabmonie10,"RT @iamkelex: Rufai is a national treasure, and must be protected at all cost.
Please Kindly RETWEET.

Tinubu Tompolo naira #BREAKING_NEWS…",2022-11-26 16:25:12+00:00,0,,,,London,Peter obi
BDraugur,RT @multimeverse: Mobilization groups and everyone talking to people about Peter obi (all of us) we need to start making sure labour party…,2022-11-26 16:25:12+00:00,0,,,,In your mind,Peter obi
wonnnder_land,"RT @YIM_Nigeria: Nigerians, H.E Peter Obi is coming worry no more! #PeterObiForPresident2023 https://t.co/H0VPPzBS8Y",2022-11-26 16:25:11+00:00,0,,,,"Lagos, Nigeria",Peter obi
dirosky,RT @JaypeeGeneral: Interesting findings! Those who are still doubting that Peter Obi will win this election should embrace the reality. The…,2022-11-26 16:25:09+00:00,0,,,,"ÜT: 51.495768,0.082194",Peter obi
MasterPackerPut,RT @GazetteNGR: Peter Obi rejects award in Enugu  https://t.co/hUYtJHaCdE,2022-11-26 16:25:08+00:00,0,,,,"Nottingham, England",Peter obi
prollyHUGE,RT @Eloka51: Peter Obi says we need to grow our revenue base and so we can use oil revenue to clean up the Niger Delta. He says Nigeria owe…,2022-11-26 16:25:08+00:00,0,,,,Lagos,Peter obi
SilverWealths,"RT @iamkelex: Rufai is a national treasure, and must be protected at all cost.
Please Kindly RETWEET.

Tinubu Tompolo naira #BREAKING_NEWS…",2022-11-26 16:25:08+00:00,0,,,,,Peter obi
EbubeAgu_,"RT @Makavelli275: Professor Vice-President Osibanjo speaks about Peter Obi. 

Hear him! https://t.co/9QjncbU8ob",2022-11-26 16:25:07+00:00,0,,,,Ogbe📍,Peter obi
chychyloving,"RT @Girl_isBlessed: Since Elon Bought Twitter Peter Obi has been trending non-stop. Before, if you like tweet his name 1million times he do…",2022-11-26 16:25:07+00:00,0,,,,,Peter obi
Omokehinde_ad,RT @von_Bismack: The Igbo transactional elites are not happy about the emergence of Peter Obi.,2022-11-26 16:25:07+00:00,0,,,,"Lagos, Nigeria",Peter obi
Alvinmoniy,RT @asemota: The greatest thing Peter Obi can do is inspire others to be like him. The next greatest thing is to get them to run for office…,2022-11-26 16:25:07+00:00,0,,,,🇮🇹🇳🇬,Peter obi
IZANWA,"RT @itzz_blitz1: Peter obi will shut down lagos ×10 more than the disorganised rally Tinubu did today.

He shut down peoples businesses tod…",2022-11-26 16:25:06+00:00,0,,,,awka,Peter obi
eseluODG,"RT @Dr_chazduke: Did you know that Innoson Vehicles delivered Made in Nigeria vehicles worth $4.7 million to Sierra Leone Government?

God…",2022-11-26 16:25:05+00:00,0,,,,"New Norway, Alberta",Peter obi
divineboy10,"RT @chude__: I look like I'm okay but deep down I need somebody to explain to me how Peter Obi managed to attend events in Owerri, Awka, En…",2022-11-26 16:25:03+00:00,0,,,,"Toronto, Canada",Peter obi
akeemfadare,"RT @Qdpaper2: Tinubu will recharge Lake Chad with the tears of Peter Obi after seeing pictures from Teslim Balogun stadium. 

No tears will…",2022-11-26 16:25:02+00:00,0,,,,Portharcourt,Peter obi
LegitBoss14,RT @VictorIsrael_: October 1st Ikeja Rally for Peter Obi; Today our beautiful Obidient baby has arrived. Mother @Thatgalfyne and baby are d…,2022-11-26 16:25:01+00:00,0,,,,,Peter obi
koigbest,"RT @hemharnuel: Take Back Naija for President Peter Obi.

Retweet massively if ObiDatti na your next president and vice president.

#TakeBa…",2022-11-26 16:25:01+00:00,0,,,,,Peter obi
bankmj,"RT @Omojuwa: Correct me if I’m right. Time spent as governor, Kwankwaso was several heavens ahead of Peter Obi. It’s not even a fair compar…",2022-11-26 16:25:01+00:00,0,,,,Nigeria,Peter obi
osesokoigun,"RT @omoelerinjare: Peter Obi was announced at the Dominion City Night of glory in Lagos State Last night! 

Doyin Okupe Bread Hookup innoso…",2022-11-26 16:25:01+00:00,0,,,,,Peter obi
Ola239ja,RT @OvieNews: As Ramadan is fast approaching I want to apologise to everyone from the opposition I have offended here . Starting with Peter…,2022-11-26 16:25:00+00:00,0,,,,,Peter obi
kingsleejohnson,RT @VictorIsrael_: The fuel scarcity in Lagos doesn’t affect people who support Tinubu. Just scream Jagaban and you’ll be given 20 litres o…,2022-11-26 16:25:00+00:00,0,,,,"Lagos,Nigeria",Peter obi
