user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc
Yemife96,rt @mindset_tweet: those that love bola tinubu should go and collect their apv apc card and vote for him!,2022-11-26 16:50:39+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,tinubu_apc,rt @user those that love bola tinubu should go and collect their apv apc card and vote for him!
HIGHSTAR27,rt @victorisrael_: wow! this is so beautiful. everyone who came to stand in solidarity with asiwaju bola tinubu and shettima at the teslim…,2022-11-26 16:50:38+00:00,0,,,,Worldwide. ,bola tinubu,False,unknown,tinubu_apc,rt @user wow! this is so beautiful. everyone who came to stand in solidarity with asiwaju bola tinubu and shettima at the teslim…
Orakwuegodfrey1,"rt @kna_th: go and get your apv apc and you must vote.😂😂😂

truly, asiwaju bola ahmed tinubu’s health is suffering from mul-ti-li-pi-cation…",2022-11-26 16:50:37+00:00,0,,,,"Port Harcourt, Nigeria",bola tinubu,True,rivers,tinubu_apc,"rt @user go and get your apv apc and you must vote.😂😂😂

truly, asiwaju bola ahmed tinubu’s health is suffering from mul-ti-li-pi-cation…"
Ekwere_Deus,"rt @dejioluwatobi: if anybody in this world would denigrate the painstaking heights peter obi has achieved in his life, it's not asiwaju bo…",2022-11-26 16:50:36+00:00,0,,,,God's Hand ,bola tinubu,False,unknown,obi_labour,"rt @user if anybody in this world would denigrate the painstaking heights peter obi has achieved in his life, it's not asiwaju bo…"
samkizz_elenu,"rt @nzube_agbo: when kenneth okonkwo said that asiwaju bola ahmed tinubu has become food for comedians, and a creator of comic relief, he w…",2022-11-26 16:50:36+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,tinubu_apc,"rt @user when kenneth okonkwo said that asiwaju bola ahmed tinubu has become food for comedians, and a creator of comic relief, he w…"
Josiahidam,rt @mavisikpeme: asiwaju bola ahmed tinubu should prove lagos is for apv apc by allowing peter obi launch his lagos campaign in the same te…,2022-11-26 16:50:34+00:00,0,,,,locate me if you can😊,bola tinubu,False,unknown,obi_labour,rt @user asiwaju bola ahmed tinubu should prove lagos is for apv apc by allowing peter obi launch his lagos campaign in the same te…
HoneyteeG,"rt @deeoneayekooto: ""bola son of tinubu, lion the son of asabi....."" https://t.co/2gii0adro3",2022-11-26 16:50:33+00:00,0,,,,"Ado Ekiti, Nigeria",bola tinubu,True,ekiti,tinubu_apc,"rt @user ""bola son of tinubu, lion the son of asabi....."" http"
loyalBATvotary,"rt @davidsoffor: if you love asiwaju bola ahmed tinubu,go and get your pvc now!!!!

vote wisely!!",2022-11-26 16:50:32+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,tinubu_apc,"rt @user if you love asiwaju bola ahmed tinubu,go and get your pvc now!!!!

vote wisely!!"
GAZZYOLA,"rt @officialjandor: today, markets across lagos have been forced to close with all traders mandated by governor sanwoolu government, to att…",2022-11-26 16:50:30+00:00,0,,,,far away,bola tinubu,False,unknown,,"rt @user today, markets across lagos have been forced to close with all traders mandated by governor sanwoolu government, to att…"
PMSkukz,rt @mindset_tweet: those that love bola tinubu should go and collect their apv apc card and vote for him!,2022-11-26 16:50:29+00:00,0,,,,🌐 GLOBAL,bola tinubu,False,unknown,tinubu_apc,rt @user those that love bola tinubu should go and collect their apv apc card and vote for him!
loyalBATvotary,"rt @eleluayoola: today in lagos. 

it is a must for me to vote for asiwaju bola ahmed tinubu. i have my pvc.
♾️♾️♾️ https://t.co/uekakgbzrq",2022-11-26 16:50:29+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,tinubu_apc,"rt @user today in lagos. 

it is a must for me to vote for asiwaju bola ahmed tinubu. i have my pvc.
♾️♾️♾️ http"
Ifeanyi80640776,"rt @nzube_agbo: when kenneth okonkwo said that asiwaju bola ahmed tinubu has become food for comedians, and a creator of comic relief, he w…",2022-11-26 16:50:28+00:00,0,,,,Nigeria,bola tinubu,True,unknown,tinubu_apc,"rt @user when kenneth okonkwo said that asiwaju bola ahmed tinubu has become food for comedians, and a creator of comic relief, he w…"
Femiotunba1,"rt @bashirahmaad: the arrival of our presidential candidate, asiwaju bola tinubu at the teslim balogun stadium for his lagos presidential r…",2022-11-26 16:50:25+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,tinubu_apc,"rt @user the arrival of our presidential candidate, asiwaju bola tinubu at the teslim balogun stadium for his lagos presidential r…"
mojoe_247,rt @oolusore: bola tinubu chose a muslim-muslim ticket with the current situation of nigeria and you are pained that peter obi (labour part…,2022-11-26 16:50:24+00:00,0,,,,"Benin City, Edo State, Nigeria",bola tinubu,True,unknown,obi_labour,rt @user bola tinubu chose a muslim-muslim ticket with the current situation of nigeria and you are pained that peter obi (labour part…
PaulAkugbe,"rt @officialjandor: today, markets across lagos have been forced to close with all traders mandated by governor sanwoolu government, to att…",2022-11-26 16:50:23+00:00,0,,,,,bola tinubu,False,unknown,,"rt @user today, markets across lagos have been forced to close with all traders mandated by governor sanwoolu government, to att…"
Dampics,"rt @mr_jags: tinubu o’clock 

the exact moment (12:46pm) asiwaju bola ahmed tinubu got in at the teslim balogun stadium … electrifying  🔥🔥🔥…",2022-11-26 16:50:20+00:00,0,,,,"Oyo, Nigeria",bola tinubu,True,oyo,tinubu_apc,"rt @user tinubu o’clock 

the exact moment (12:46pm) asiwaju bola ahmed tinubu got in at the teslim balogun stadium … electrifying  🔥🔥🔥…"
FutureMarsian,"rt @makavelli275: “the national chairman was almost painted like a pancake in god’s ears”-bola ahmed tinubu, nov. 26th, 2022. https://t.co/…",2022-11-26 16:50:16+00:00,0,,,,"Abakaliki, Nigeria",bola tinubu,True,unknown,tinubu_apc,"rt @user “the national chairman was almost painted like a pancake in god’s ears”-bola ahmed tinubu, nov. 26th, 2022. http"
olubenx10,"rt @stfreakingkezy: senator oluremi tinubu (wife)dey calabar, asiwaju bola ahmed tinubu (husband) dey lagos... 

  blessed home 🥰",2022-11-26 16:50:15+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,tinubu_apc,"rt @user senator oluremi tinubu (wife)dey calabar, asiwaju bola ahmed tinubu (husband) dey lagos... 

  blessed home 🥰"
omomummynoni,"rt @ohinoyiray1: meet the chief of staff to kogi state governor @pharm_asuku. the young and energetic leader is fully #jagaban. 

kogi stat…",2022-11-26 16:50:15+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,,"rt @user meet the chief of staff to kogi state governor @user the young and energetic leader is fully #jagaban. 

kogi stat…"
Axel51828776,"rt @deeoneayekooto: ""bola son of tinubu, lion the son of asabi....."" https://t.co/2gii0adro3",2022-11-26 16:50:14+00:00,0,,,,,bola tinubu,False,unknown,tinubu_apc,"rt @user ""bola son of tinubu, lion the son of asabi....."" http"
vinzelwalt,"rt @officialjandor: today, markets across lagos have been forced to close with all traders mandated by governor sanwoolu government, to att…",2022-11-26 16:50:11+00:00,0,,,,,bola tinubu,False,unknown,,"rt @user today, markets across lagos have been forced to close with all traders mandated by governor sanwoolu government, to att…"
PIUSDANIEL,"rt @nzube_agbo: when kenneth okonkwo said that asiwaju bola ahmed tinubu has become food for comedians, and a creator of comic relief, he w…",2022-11-26 16:50:11+00:00,0,,,,,bola tinubu,False,unknown,tinubu_apc,"rt @user when kenneth okonkwo said that asiwaju bola ahmed tinubu has become food for comedians, and a creator of comic relief, he w…"
idestjood,"rt @unlimitedeniola: go and take apv and vote for me- says tinubu.
  just small mistake noticed today because bola tinubu spoke mainly in y…",2022-11-26 16:50:10+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,tinubu_apc,"rt @user go and take apv and vote for me- says tinubu.
  just small mistake noticed today because bola tinubu spoke mainly in y…"
Emman93151732,rt @mindset_tweet: those that love bola tinubu should go and collect their apv apc card and vote for him!,2022-11-26 16:50:09+00:00,0,,,,,bola tinubu,False,unknown,tinubu_apc,rt @user those that love bola tinubu should go and collect their apv apc card and vote for him!
ConteBTCmine,rt @oolusore: bola tinubu chose a muslim-muslim ticket with the current situation of nigeria and you are pained that peter obi (labour part…,2022-11-26 16:50:06+00:00,0,,,,,bola tinubu,False,unknown,obi_labour,rt @user bola tinubu chose a muslim-muslim ticket with the current situation of nigeria and you are pained that peter obi (labour part…
TripDarlinq,"rt @mindset_tweet: dear donald duke,

bola tinubu did not only use your picture for his documentary, but he also used it in his autobiograp…",2022-11-26 16:50:06+00:00,0,,,,"Ibadan,Nigeria",bola tinubu,True,unknown,obi_labour,"rt @user dear donald duke,

bola tinubu did not only use your picture for his documentary, but he also used it in his autobiograp…"
tunjiotufadebo1,"rt @officialjandor: today, markets across lagos have been forced to close with all traders mandated by governor sanwoolu government, to att…",2022-11-26 16:50:05+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,,"rt @user today, markets across lagos have been forced to close with all traders mandated by governor sanwoolu government, to att…"
Ade4liver,"rt @mr_jags: today in lagos for asiwaju bola ahmed tinubu @officialabat and @jidesanwoolu 

e soak !!!!! 🔥🔥🔥🙏🏽

#bat2023 

#tinubu2023 http…",2022-11-26 16:50:04+00:00,0,,,,"Lagos,nigeria",bola tinubu,True,lagos,tinubu_apc,"rt @user today in lagos for asiwaju bola ahmed tinubu @user and @user 

e soak !!!!! 🔥🔥🔥🙏🏽

#bat2023 

#tinubu2023 http"
Orakwuegodfrey1,"rt @nzube_agbo: when kenneth okonkwo said that asiwaju bola ahmed tinubu has become food for comedians, and a creator of comic relief, he w…",2022-11-26 16:50:01+00:00,0,,,,"Port Harcourt, Nigeria",bola tinubu,True,rivers,tinubu_apc,"rt @user when kenneth okonkwo said that asiwaju bola ahmed tinubu has become food for comedians, and a creator of comic relief, he w…"
CalabarPrince,"rt @michael_belex: ""go and take your apv apc and you must vote""

today's banger 😂🤣😂

• manifesto • gistlover • rufai • asiwaju bola ahmed t…",2022-11-26 16:50:01+00:00,0,,,,LAG \ CAL \ SA,bola tinubu,False,unknown,tinubu_apc,"rt @user ""go and take your apv apc and you must vote""

today's banger 😂🤣😂

• manifesto • gistlover • rufai • asiwaju bola ahmed t…"
