user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc
adamaleew23,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:56:47+00:00,0,,,,Nigeria,#BAT2023,True,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
asiwaju_wa,"rt @theresatekenah: edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope https://t.co/3tnz1cas4g",2023-01-05 14:55:25+00:00,0,,,,worldwide,#BAT2023,False,unknown,tinubu_apc,"rt @user edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope http"
hennynoni,"rt @theresatekenah: edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope https://t.co/3tnz1cas4g",2023-01-05 14:54:37+00:00,0,,,,"Ede, Nigeria",#BAT2023,True,unknown,tinubu_apc,"rt @user edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope http"
Iam_lordmayor,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:54:21+00:00,0,,,,With GOD ,#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
GAkindele2,"rt @theresatekenah: edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope https://t.co/3tnz1cas4g",2023-01-05 14:54:07+00:00,0,,,,Nigeria,#BAT2023,True,unknown,tinubu_apc,"rt @user edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope http"
OluwatobiJonat1,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:53:59+00:00,0,,,,"Lagos, Nigeria",#BAT2023,True,lagos,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
OlaiwolaSadiq,rt @iu_wakilii: tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu…,2023-01-05 14:53:23+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,rt @user tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu…
Quadricanaa,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:52:19+00:00,0,,,,🇳🇬,#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
OlaiwolaSadiq,"rt @theresatekenah: edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope https://t.co/3tnz1cas4g",2023-01-05 14:51:26+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope http"
modupsy4real,"rt @theresatekenah: edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope https://t.co/3tnz1cas4g",2023-01-05 14:51:09+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope http"
lotanna_ok,"rt @theresatekenah: edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope https://t.co/3tnz1cas4g",2023-01-05 14:50:30+00:00,0,,,,"Anambra, Nigeria",#BAT2023,True,anambra,tinubu_apc,"rt @user edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope http"
Enilexx,"😂😂😂
wahala dey for pikin wey no dey hear word.
yesterday, #bat2023 campaign rally in kano choked, choken't it?
today, 'those other people''s ekiti circu show by their own testimony was dry.
it's the self realization for me.
day don dey break, jungle don dey mature.
♾🇳🇬♾ https://t.co/ylzci1kahc",2023-01-05 14:50:28+00:00,0,,,,"ÜT: 6.44226,3.47133",#BAT2023,False,unknown,,"😂😂😂
wahala dey for pikin wey no dey hear word.
yesterday, #bat2023 campaign rally in kano choked, choken't it?
today, 'those other people''s ekiti circu show by their own testimony was dry.
it's the self realization for me.
day don dey break, jungle don dey mature.
♾🇳🇬♾ http"
de_eritage,"rt @asiwaju_wa: i love osho baba vibe ehn 🤣🤣, tinubu lo kan.

#renewedhope2023 #bat2023 #tinubuinedo https://t.co/yhldllohpn",2023-01-05 14:48:54+00:00,0,,,,"New York, NY",#BAT2023,False,unknown,tinubu_apc,"rt @user i love osho baba vibe ehn 🤣🤣, tinubu lo kan.

#renewedhope2023 #bat2023 #tinubuinedo http"
afolabiolusola2,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:48:33+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
TT941249881,rt @iu_wakilii: tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu…,2023-01-05 14:48:19+00:00,0,,,,"Lagos, Nigeria",#BAT2023,True,lagos,tinubu_apc,rt @user tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu…
Dampics,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:47:59+00:00,0,,,,"Conventry, United Kingdom",#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
TheresaTekenah,rt @iu_wakilii: tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu…,2023-01-05 14:46:08+00:00,0,,,,Abuja,#BAT2023,False,abuja,tinubu_apc,rt @user tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu…
AhmadMo39286657,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:46:06+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
ASHAOLUOS,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:45:25+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
Haysh_Dee,"rt @theresatekenah: edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope https://t.co/3tnz1cas4g",2023-01-05 14:45:23+00:00,0,,,,Port Harcourt,#BAT2023,False,rivers,tinubu_apc,"rt @user edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope http"
Ade_Nurayn,rt @iu_wakilii: tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu…,2023-01-05 14:44:32+00:00,0,,,,West Africa - Nigeria.,#BAT2023,True,unknown,tinubu_apc,rt @user tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu 👑 tinubu…
