user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc
PrinceO58661944,"rt @catalyst4eva: ojukwu wanted a better nigeria, but those who don't believe in onenigeria rejected it after aburi accord. and i ask #obid…",2023-01-06 15:07:26+00:00,0,,,,,#Obidients,False,unknown,obi_labour,"rt @user ojukwu wanted a better nigeria, but those who don't believe in onenigeria rejected it after aburi accord. and i ask #obid…"
Hugo_Chiez,"rt @yaikuub: #obidients, we 📌 here on-top twitter for #obidatti until after he peter obi completes his 8-year tenure as the president of th…",2023-01-06 15:07:07+00:00,0,,,,Titan. On my way to The Garden,#Obidients,False,unknown,obi_labour,"rt @user #obidients, we 📌 here on-top twitter for #obidatti until after he peter obi completes his 8-year tenure as the president of th…"
BlaqkBoo,"rt @catalyst4eva: ojukwu wanted a better nigeria, but those who don't believe in onenigeria rejected it after aburi accord. and i ask #obid…",2023-01-06 15:06:03+00:00,0,,,,Land of the rising sun,#Obidients,False,unknown,obi_labour,"rt @user ojukwu wanted a better nigeria, but those who don't believe in onenigeria rejected it after aburi accord. and i ask #obid…"
endsarsbot_,"rt @ndidiuwechue: #nigeria #igbo #yoruba #obidients freedom! talk radio
on sat 07 jan at 4pm 🇳🇬 time. see poster for details.
link: 
https:…",2023-01-06 15:05:35+00:00,0,,,,World,#Obidients,False,unknown,obi_labour,"rt @user #nigeria #igbo #yoruba #obidients freedom! talk radio
on sat 07 jan at 4pm 🇳🇬 time. see poster for details.
link: 
https:…"
NdidiUwechue,"#nigeria #igbo #yoruba #obidients freedom! talk radio
on sat 07 jan at 4pm 🇳🇬 time. see poster for details.
link: 
https://t.co/z6xe0lssjl
#ninasisright #ninasplanistheanswer
#westandwithninas #transitionnow #endsars https://t.co/n6et0fxf3l",2023-01-06 15:05:30+00:00,1,,,,,#Obidients,False,unknown,obi_labour,"#nigeria #igbo #yoruba #obidients freedom! talk radio
on sat 07 jan at 4pm 🇳🇬 time. see poster for details.
link: 
https://t.co/z6xe0lssjl
#ninasisright #ninasplanistheanswer
#westandwithninas #transitionnow #endsars http"
DeprinceE3,rt @dr_asaolu: we are unstoppable #obidients https://t.co/ey4d5cs19z,2023-01-06 15:05:18+00:00,0,,,,"Federal Capital Territory, Nig",#Obidients,False,abuja,obi_labour,rt @user we are unstoppable #obidients http
fireproofequip5,"rt @thankgo55478728: i'm so happy i've gotten my pvc.
one more vote added to @peterobi 

25th of february abeg do reach i'm ready!
#obidien…",2023-01-06 15:04:32+00:00,0,,,,"Lagos, Nigeria",#Obidients,True,lagos,obi_labour,"rt @user i'm so happy i've gotten my pvc.
one more vote added to @user 

25th of february abeg do reach i'm ready!
#obidien…"
Adammadgreat,"rt @cnwaokobiajnr: you can't stand in d way of a revolution, if you don't believe in it resign..stop sabotaging d process from within? the…",2023-01-06 15:04:20+00:00,0,,,,,#Obidients,False,unknown,obi_labour,"rt @user you can't stand in d way of a revolution, if you don't believe in it resign..stop sabotaging d process from within? the…"
keepee101,rt @dr_asaolu: we are unstoppable #obidients https://t.co/ey4d5cs19z,2023-01-06 15:03:39+00:00,0,,,,Nigeria,#Obidients,True,unknown,obi_labour,rt @user we are unstoppable #obidients http
JamesGarba16,"@blessed_ajoke @blessed4ever_10 airtel
#obidients 
already following",2023-01-06 15:02:59+00:00,0,,,,"Gombe, Nigeria",#Obidients,True,gombe,obi_labour,"@user @user airtel
#obidients 
already following"
