user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc
BulusManasseh3,"rt @laurentdarl: pikin wey say em mama nor go sleep, him sef nor go sleep! 

#recovernigeria https://t.co/2zdvvw3phg",2023-01-06 08:06:25+00:00,0,,,,"Lagos, Nigeria",#RecoverNigeria,True,lagos,,"rt @user pikin wey say em mama nor go sleep, him sef nor go sleep! 

#recovernigeria http"
JacobPeterNyam1,"rt @hrh_ujuaku: my leader, h.e atiku abubakar 
has consistently shown that his
brand of politics is not defined or
inspired by any regional…",2023-01-06 08:06:17+00:00,0,,,,"Abuja, Nigeria",#RecoverNigeria,True,abuja,atiku_pdp,"rt @user my leader, h.e atiku abubakar 
has consistently shown that his
brand of politics is not defined or
inspired by any regional…"
diddybop1,rt @yemieoke: a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria https://t.co/qmwyseq780,2023-01-06 08:05:59+00:00,0,,,,North Pole,#RecoverNigeria,False,unknown,atiku_pdp,rt @user a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria http
DeltaMatters,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 08:03:55+00:00,0,,,,,#RecoverNigeria,False,unknown,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
geenieeus,rt @yemieoke: a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria https://t.co/qmwyseq780,2023-01-06 08:03:13+00:00,0,,,,On the road less traveled...,#RecoverNigeria,False,unknown,atiku_pdp,rt @user a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria http
udombiokporo,rt @yemieoke: a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria https://t.co/qmwyseq780,2023-01-06 08:02:50+00:00,0,,,,"Lagos, Nigeria",#RecoverNigeria,True,lagos,atiku_pdp,rt @user a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria http
udombiokporo,"it's a reminder that history doesn't just move forward, they can go back,"" atiku said. ""we could be one presidential election away from a nationwide ban on access to #recovernigeria. and that might just be the beginning.""

#pdp
#ao23 https://t.co/kjpxxfzahj",2023-01-06 08:00:34+00:00,9,,,,"Lagos, Nigeria",#RecoverNigeria,True,lagos,atiku_pdp,"it's a reminder that history doesn't just move forward, they can go back,"" atiku said. ""we could be one presidential election away from a nationwide ban on access to #recovernigeria. and that might just be the beginning.""

#pdp
#ao23 http"
wakajugbe,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 08:00:21+00:00,0,,,,"Abuja, Nigeria",#RecoverNigeria,True,abuja,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
jamiu_99053,"rt @atikumedia2023: the great countdown to recovery 2023.

we have no choice as nigerians than to #rescue and #recovernigeria with #atikuok…",2023-01-06 08:00:09+00:00,0,,,,Osun State,#RecoverNigeria,False,osun,atiku_pdp,"rt @user the great countdown to recovery 2023.

we have no choice as nigerians than to #rescue and #recovernigeria with #atikuok…"
imoto_prosper,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 08:00:03+00:00,0,,,,,#RecoverNigeria,False,unknown,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
abdullahiisha25,rt @abdullahiisha25: 49 days left to  #recovernigeria https://t.co/6cjs5fyisl,2023-01-06 07:57:46+00:00,0,,,,"Kaduna state, Nigeria",#RecoverNigeria,True,kaduna,,rt @user 49 days left to  #recovernigeria http
abdullahiisha25,49 days left to  #recovernigeria https://t.co/6cjs5fyisl,2023-01-06 07:57:40+00:00,3,,,,"Kaduna state, Nigeria",#RecoverNigeria,True,kaduna,,49 days left to  #recovernigeria http
Eromosele6,"rt @laurentdarl: pikin wey say em mama nor go sleep, him sef nor go sleep! 

#recovernigeria https://t.co/2zdvvw3phg",2023-01-06 07:57:39+00:00,0,,,,,#RecoverNigeria,False,unknown,,"rt @user pikin wey say em mama nor go sleep, him sef nor go sleep! 

#recovernigeria http"
laurentdarl,"pikin wey say em mama nor go sleep, him sef nor go sleep! 

#recovernigeria https://t.co/2zdvvw3phg",2023-01-06 07:56:16+00:00,38,,,,"Asaba, lagos, Nigeria.",#RecoverNigeria,True,unknown,,"pikin wey say em mama nor go sleep, him sef nor go sleep! 

#recovernigeria http"
MrGaji,rt @lukabbey: 49 days left to  #recovernigeria https://t.co/febpz3b8qx,2023-01-06 07:55:40+00:00,0,,,,#AFROxNFTs,#RecoverNigeria,False,unknown,,rt @user 49 days left to  #recovernigeria http
cartermillz,rt @yemieoke: a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria https://t.co/qmwyseq780,2023-01-06 07:55:31+00:00,0,,,,"Ilorin, Nigeria",#RecoverNigeria,True,unknown,atiku_pdp,rt @user a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria http
GoldieSophie199,rt @lukabbey: 49 days left to  #recovernigeria https://t.co/febpz3b8qx,2023-01-06 07:55:27+00:00,0,,,,,#RecoverNigeria,False,unknown,,rt @user 49 days left to  #recovernigeria http
cartermillz,"rt @hrh_ujuaku: my leader, h.e atiku abubakar 
has consistently shown that his
brand of politics is not defined or
inspired by any regional…",2023-01-06 07:54:41+00:00,0,,,,"Ilorin, Nigeria",#RecoverNigeria,True,unknown,atiku_pdp,"rt @user my leader, h.e atiku abubakar 
has consistently shown that his
brand of politics is not defined or
inspired by any regional…"
DayoJoshua123,rt @lukabbey: 49 days left to  #recovernigeria https://t.co/febpz3b8qx,2023-01-06 07:54:20+00:00,0,,,,"Lagos, Nigeria",#RecoverNigeria,True,lagos,,rt @user 49 days left to  #recovernigeria http
Lukabbey,49 days left to  #recovernigeria https://t.co/febpz3b8qx,2023-01-06 07:54:01+00:00,4,,,,lagos/osogbo/ibadan/akure,#RecoverNigeria,False,lagos,,49 days left to  #recovernigeria http
OndoPDPVanguard,"countdown!

49 days left to #recovernigeriawithatiku 

#recovernigeria 
#atikuokowa2023 
#ondopdpvanguard https://t.co/l086rndngh",2023-01-06 07:53:44+00:00,2,,,,Ondo Nigeria,#RecoverNigeria,True,ondo,atiku_pdp,"countdown!

49 days left to #recovernigeriawithatiku 

#recovernigeria 
#atikuokowa2023 
#ondopdpvanguard http"
efepeter19,"rt @gentleojay: atiku begins plans to run government https://t.co/xot04pyodc

see how they look serious and elegantly regal.. nigeria will…",2023-01-06 07:52:39+00:00,0,,,,Nigeria,#RecoverNigeria,True,unknown,atiku_pdp,rt @user atiku begins plans to run government http how they look serious and elegantly regal.. nigeria will…
ChiMemeh,rt @yemieoke: a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria https://t.co/qmwyseq780,2023-01-06 07:52:15+00:00,0,,,,Anioma,#RecoverNigeria,False,unknown,atiku_pdp,rt @user a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria http
chiko4_naija,"rt @apreciousnjoku: wike should as a matter of urgency, pause a d concentrate on his health. first it was lagos and now, oyo! 
#recovernige…",2023-01-06 07:51:56+00:00,0,,,,,#RecoverNigeria,False,unknown,,"rt @user wike should as a matter of urgency, pause a d concentrate on his health. first it was lagos and now, oyo! 
#recovernige…"
NigerTrump,"rt @atikumedia2023: the great countdown to recovery 2023.

we have no choice as nigerians than to #rescue and #recovernigeria with #atikuok…",2023-01-06 07:51:37+00:00,0,,,,Behind You. ,#RecoverNigeria,False,unknown,atiku_pdp,"rt @user the great countdown to recovery 2023.

we have no choice as nigerians than to #rescue and #recovernigeria with #atikuok…"
AjenePeter,"from 1999- 2007, nigeria had a vp who is competent,  capable and experienced. 

this man is ready to take nigeria forward in 2023.
#voteatiku #votepdp #atikuorganizingforaction #atikuokowa2023 #recovernigeria https://t.co/qbsgmgx6o4",2023-01-06 07:50:09+00:00,10,,,,Agatu LGA of Benue State ,#RecoverNigeria,False,benue,atiku_pdp,"from 1999- 2007, nigeria had a vp who is competent,  capable and experienced. 

this man is ready to take nigeria forward in 2023.
#voteatiku #votepdp #atikuorganizingforaction #atikuokowa2023 #recovernigeria http"
FASTnFIERCE,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:49:19+00:00,0,,,,Where Knowledge Exists ,#RecoverNigeria,False,unknown,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
AbdulrahmanBKD,"days remain nigeria to recover.

#atikuokowa2023 
#recovernigeria 
#atikuorganizationforaction https://t.co/demmtc4wbr",2023-01-06 07:48:44+00:00,7,,,,birnin kudu,#RecoverNigeria,False,unknown,atiku_pdp,"days remain nigeria to recover.

#atikuokowa2023 
#recovernigeria 
#atikuorganizationforaction http"
ThatUrhoboGirl,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:48:33+00:00,0,,,,"Lagos, Nigeria",#RecoverNigeria,True,lagos,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
SAMUELA99730065,"from 1999- 2007, nigeria had a vp who is competent,  capable and experienced. 

this man is ready to take nigeria forward in 2023.
#voteatiku #votepdp #atikuorganizingforaction #atikuokowa2023 #recovernigeria https://t.co/idtnphwckl",2023-01-06 07:48:06+00:00,0,,,,"Federal Capital Territory, Nig",#RecoverNigeria,False,abuja,atiku_pdp,"from 1999- 2007, nigeria had a vp who is competent,  capable and experienced. 

this man is ready to take nigeria forward in 2023.
#voteatiku #votepdp #atikuorganizingforaction #atikuokowa2023 #recovernigeria http"
laurentdarl,rt @huncle_sam: #deltapdprally #recovernigeria,2023-01-06 07:47:56+00:00,0,,,,"Asaba, lagos, Nigeria.",#RecoverNigeria,True,unknown,atiku_pdp,rt @user #deltapdprally #recovernigeria
EGometi,"rt @phabpresh: it has gotten to the point where the opposition shouldn't campaign again in delta state, the love, and appreciation shown to…",2023-01-06 07:47:25+00:00,0,,,,Warri,#RecoverNigeria,False,unknown,,"rt @user it has gotten to the point where the opposition shouldn't campaign again in delta state, the love, and appreciation shown to…"
ViccOneil,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:46:53+00:00,0,,,,"Port Harcourt, Nigeria",#RecoverNigeria,True,rivers,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
stella_lazarus1,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:46:22+00:00,0,,,,Nigeria,#RecoverNigeria,True,unknown,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
AtikuMedia2023,"the great countdown to recovery 2023.

we have no choice as nigerians than to #rescue and #recovernigeria with #atikuokowa2023 

nigeria must be better in our time✅ https://t.co/92nuxp4qvn",2023-01-06 07:46:13+00:00,8,,,,"Federal Capital Territory, Nig",#RecoverNigeria,False,abuja,atiku_pdp,"the great countdown to recovery 2023.

we have no choice as nigerians than to #rescue and #recovernigeria with #atikuokowa2023 

nigeria must be better in our time✅ http"
NaNer_Fareehert,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:45:58+00:00,0,,,,Nigeria,#RecoverNigeria,True,unknown,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
I_Am_Ilemona,rt @yemieoke: a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria https://t.co/qmwyseq780,2023-01-06 07:45:56+00:00,0,,,,"Abuja, Nigeria",#RecoverNigeria,True,abuja,atiku_pdp,rt @user a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria http
Huncle_Sam,#deltapdprally #recovernigeria https://t.co/jsb0q7qsir,2023-01-06 07:45:34+00:00,0,,,,Nigeria,#RecoverNigeria,True,unknown,atiku_pdp,#deltapdprally #recovernigeria http
