user,tweet,date,likes,geo,coordinates,place,user_loc,query
AminuAbuzayd,"RT @lekanpaul: “We took over the worst pricing of crude oil but still, the very determined, focused person (President Muhammadu Buhari) was…",2022-10-13 16:53:56+00:00,0,,,,"Sabon-Gari, Zaria Nigeria",bola tinubu
SabituAkorede,"RT @mrlurvy: We can actually campaign for Asiwaju Bola Ahmed Tinubu without insulting PYO.

Same way PYO fanboys can keep us out of their w…",2022-10-13 16:53:44+00:00,0,,,,,bola tinubu
amuiludun,RT @ninoroyals: The Deputy National Women Leader of the APC Haj. Zainab Abubakar Ibrahim ( @AuntyZeeee ) together with the APC presidential…,2022-10-13 16:53:34+00:00,0,,,,Worldwide,bola tinubu
hardeclarks,RT @fisayosoyombo: PURE: If you slated Bola Tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,2022-10-13 16:53:31+00:00,0,,,,The pacific ,bola tinubu
Qdpaper2,"""The best way to win an election today is to have a great yesterday that will bear you witness....""

- Asiwaju Bola Ahmed Tinubu

What great yesterday does your preferred candidate have that Nigeria can bear witness? https://t.co/DUqWWHLlbC",2022-10-13 16:53:30+00:00,0,,,,"Lagos, Nigeria",bola tinubu
ensurewords,@EditiEffiong Which do you Nigerians prefer and want? Bola tinubu who sent Seyi tinubu to remove the cctv at the lekki toll gate so there will be no evidence or general john enenche who was just a military spoke man obeying the military law of obey till the last order. Chose one,2022-10-13 16:53:28+00:00,0,,,,INDIA,bola tinubu
mrlurvy,"We can actually campaign for Asiwaju Bola Ahmed Tinubu without insulting PYO.

Same way PYO fanboys can keep us out of their wailings. Asiwaju Bola Ahmed Tinubu is not your mate.",2022-10-13 16:53:14+00:00,4,,,,Nigeria,bola tinubu
pwizzydove,"RT @FoluShaw: Watched 17 videos of Bola Ahmed Tinubu out of boredom yesterday. 

Just want to say if I EVER hear any of you call any Peter…",2022-10-13 16:52:57+00:00,0,,,,Planet Earth,bola tinubu
AnthonyGodspee1,"RT @Aliyusu8080: According to the data released by Global data lab,peter obi outperformed Bola Tinubu and (fashola) in all 6 major growth i…",2022-10-13 16:52:54+00:00,0,,,,,bola tinubu
king20223995331,"RT @AreaFada1: Buhari’s legacy has been,evil clannishness, ethno-religious bigotry, and the worst failure in leadership in global history.…",2022-10-13 16:52:53+00:00,0,,,,,bola tinubu
ensurewords,@AbdulMahmud01 Which do you Nigerians prefer and want? Bola tinubu who sent Seyi tinubu to remove the cctv at the lekki toll gate so there will be no evidence or general john enenche who was just a military spoke man obeying the military law of obey till the last order. Chose one,2022-10-13 16:52:25+00:00,0,,,,INDIA,bola tinubu
OlabayoBalogun,RT @fisayosoyombo: PURE: If you slated Bola Tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,2022-10-13 16:52:13+00:00,0,,,,Lagos,bola tinubu
Exitednpoweryou,RT @DOlusegun: Asiwaju Bola Ahmed Tinubu congratulates Prince Oluyole Olusi on his 85th birthday https://t.co/oLhdKNkZhA,2022-10-13 16:52:07+00:00,0,,,,Nigeria,bola tinubu
tweetlawunmi,RT @fisayosoyombo: PURE: If you slated Bola Tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,2022-10-13 16:51:54+00:00,0,,,,,bola tinubu
