user,tweet,date,likes,geo,coordinates,place,user_loc,query
Iammurphyleo,"RT @AmbProgressive: APC presidential candidate, @officialABAT  and his running mate, @KashimSM during a crucial meeting with members of the…",2022-10-13 16:39:58+00:00,0,,,,lagos,#BATSHET2023
CJodogwu,RT @Gen_Buhar: Ibadan APC mega rally for #BATSHET2023 in a pack . https://t.co/HbGYduZ8Hx,2022-10-13 16:30:10+00:00,0,,,,"Bonny, Nigeria",#BATSHET2023
SQamshi,"RT @AmbProgressive: APC presidential candidate, @officialABAT  and his running mate, @KashimSM during a crucial meeting with members of the…",2022-10-13 16:26:15+00:00,0,,,,"Bauchi, Nigeria",#BATSHET2023
montero4emirate,"Boerboel puppies for sale, pure breed...
DM and place ur order now

#ricoswavey #ObiDatti2023 #BATSHET2023 #AtikuOkowa2023 #chainsawman #hijab #PakistanCricket #ItsSugaHyung #dolar #ChampionsLeague https://t.co/gj25VgxTZk",2022-10-13 15:30:24+00:00,1,,,,"Lagos, Nigeria",#BATSHET2023
DestinyDsty,RT @promisemonday_: The Great Debate we look forward to between APC Festus Keyamo @fkeyamo Versus LP Keneth Okonkwo @realkenokonkwo. #Obida…,2022-10-13 15:29:11+00:00,0,,,,,#BATSHET2023
shakiti_bobo_,RT @OlamilekaniCON: baba just shock dey speak yeye English. I can't be swayed by such puerile propaganda. You close your eyes to the extrem…,2022-10-13 15:14:22+00:00,0,,,,,#BATSHET2023
medlezy,RT @Gen_Buhar: Ibadan APC mega rally for #BATSHET2023 in a pack . https://t.co/HbGYduZ8Hx,2022-10-13 15:11:16+00:00,0,,,,,#BATSHET2023
ayof1616,"Make others go rest o
#batshet2023 https://t.co/radicMTAqm",2022-10-13 15:04:01+00:00,0,,,,"Lagos, Nigeria",#BATSHET2023
AjoseGaniat,"You LP supporters that are good at importing of mammoth crowd for Mega Rally,ehen, 😆😝..OKAY.....Whether una like it or not #BATiscoming #BATKSM2023 #BATSHET2023 
@OsunforTinubu2023 https://t.co/hqNuD24jCv",2022-10-13 14:53:57+00:00,3,,,,lagos state,#BATSHET2023
wisdom_ebuka93,RT @promisemonday_: The Great Debate we look forward to between APC Festus Keyamo @fkeyamo Versus LP Keneth Okonkwo @realkenokonkwo. #Obida…,2022-10-13 14:50:39+00:00,0,,,,,#BATSHET2023
kaluemeka89,RT @promisemonday_: The Great Debate we look forward to between APC Festus Keyamo @fkeyamo Versus LP Keneth Okonkwo @realkenokonkwo. #Obida…,2022-10-13 14:35:22+00:00,0,,,,"Lagos, Nigeria",#BATSHET2023
promisemonday_,The Great Debate we look forward to between APC Festus Keyamo @fkeyamo Versus LP Keneth Okonkwo @realkenokonkwo. #Obidatti2023 #Batshet2023 https://t.co/TYx9Lc8xlI,2022-10-13 14:25:30+00:00,18,,,,,#BATSHET2023
OnyelikeC,"RT @AmbProgressive: @officialABAT talking about @OfficialPDPNig 16 years of incompetence and wasteful spendings

#ForAGreaterNigeria 
#BATK…",2022-10-13 14:02:51+00:00,0,,,,,#BATSHET2023
Joladexy,"Kwara in the bag for @OfficialAPCNg. Doole ne!
#BATSHET2023 #AA2023 #RamoniLékanSi https://t.co/5ljZICchAa",2022-10-13 13:46:36+00:00,1,,,,Lagos,#BATSHET2023
Mario9jaa,"RT @OmoIyaRisi: See my state making me proud, won jade tan #BatShet2023",2022-10-13 13:01:47+00:00,0,,,,Somewhere safe.,#BATSHET2023
OmoIyaRisi,"See my state making me proud, won jade tan #BatShet2023 https://t.co/VqrmcJIY0w",2022-10-13 11:51:11+00:00,4,,,,,#BATSHET2023
archetypal12,RT @OlamilekaniCON: baba just shock dey speak yeye English. I can't be swayed by such puerile propaganda. You close your eyes to the extrem…,2022-10-13 11:41:42+00:00,0,,,,World 🌏 Citizen,#BATSHET2023
idrees_aq,"RT @Gen_Buhar: All Nollywood Stars for Bola Ahmed Asiwaju for 2023 Presidential candidate..

#BAT2023 #BATSHET2023 https://t.co/02sgHME8yF",2022-10-13 11:23:08+00:00,0,,,,Lagos Nigeria,#BATSHET2023
garbadaru,RT @Gen_Buhar: Ibadan APC mega rally for #BATSHET2023 in a pack . https://t.co/HbGYduZ8Hx,2022-10-13 10:40:06+00:00,0,,,,Egypt,#BATSHET2023
oluwaseyi_lani,"RT @Gen_Buhar: All Nollywood Stars for Bola Ahmed Asiwaju for 2023 Presidential candidate..

#BAT2023 #BATSHET2023 https://t.co/02sgHME8yF",2022-10-13 10:39:09+00:00,0,,,,"Lagos, Nigeria",#BATSHET2023
Oluomo198311199,RT @Gen_Buhar: Ibadan APC mega rally for #BATSHET2023 in a pack . https://t.co/HbGYduZ8Hx,2022-10-13 10:34:03+00:00,0,,,,,#BATSHET2023
Gen_Buhar,Ibadan APC mega rally for #BATSHET2023 in a pack . https://t.co/HbGYduZ8Hx,2022-10-13 10:26:06+00:00,13,,,,Heaven ,#BATSHET2023
AdekoyaGabri,"RT @Gen_Buhar: All Nollywood Stars for Bola Ahmed Asiwaju for 2023 Presidential candidate..

#BAT2023 #BATSHET2023 https://t.co/02sgHME8yF",2022-10-13 09:55:02+00:00,0,,,,Nigeria,#BATSHET2023
Jagaban__1,"RT @UncleORIYOMI: Good morning Batist 

#BATSHET2023 https://t.co/Mbm8wjuHkB",2022-10-13 09:40:14+00:00,0,,,,,#BATSHET2023
Eebrokaka01,RT @OlamilekaniCON: baba just shock dey speak yeye English. I can't be swayed by such puerile propaganda. You close your eyes to the extrem…,2022-10-13 09:33:51+00:00,0,,,,"Lagos, Nigeria.",#BATSHET2023
Hamix37,"Kindly listen to Gov @RotimiAkeredolu on why @Official_ABAT is the best candidate to be voted for as the next President of the Federal Republic of Nigeria.
#abatspaces #BATSHET2023 https://t.co/YI7MzERCPJ",2022-10-13 09:29:32+00:00,0,,,"Place(_api=<tweepy.api.API object at 0x118c45be0>, id='00e55e2b4c491c5f', url='https://api.twitter.com/1.1/geo/id/00e55e2b4c491c5f.json', place_type='city', name='Abuja', full_name='Abuja, Nigeria', country_code='NG', country='Nigeria', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x118c45be0>, type='Polygon', coordinates=[[[7.3045544, 8.961887], [7.5436339, 8.961887], [7.5436339, 9.1854407], [7.3045544, 9.1854407]]]), attributes={})","Abuja, Nigeria",#BATSHET2023
Haywyher,"RT @Gen_Buhar: All Nollywood Stars for Bola Ahmed Asiwaju for 2023 Presidential candidate..

#BAT2023 #BATSHET2023 https://t.co/02sgHME8yF",2022-10-13 09:26:51+00:00,0,,,,nigeria,#BATSHET2023
Ezeakachidozie,"RT @Gen_Buhar: All Nollywood Stars for Bola Ahmed Asiwaju for 2023 Presidential candidate..

#BAT2023 #BATSHET2023 https://t.co/02sgHME8yF",2022-10-13 09:19:42+00:00,0,,,,"Lagos, Nigeria",#BATSHET2023
Olaribidesi2,"RT @Gen_Buhar: All Nollywood Stars for Bola Ahmed Asiwaju for 2023 Presidential candidate..

#BAT2023 #BATSHET2023 https://t.co/02sgHME8yF",2022-10-13 09:17:19+00:00,0,,,,,#BATSHET2023
SabituAkorede,"RT @Gen_Buhar: All Nollywood Stars for Bola Ahmed Asiwaju for 2023 Presidential candidate..

#BAT2023 #BATSHET2023 https://t.co/02sgHME8yF",2022-10-13 09:16:10+00:00,0,,,,,#BATSHET2023
lawalt2010,"RT @Gen_Buhar: All Nollywood Stars for Bola Ahmed Asiwaju for 2023 Presidential candidate..

#BAT2023 #BATSHET2023 https://t.co/02sgHME8yF",2022-10-13 09:15:45+00:00,0,,,,"Kano, Nigeria",#BATSHET2023
scarfizal,"RT @Gen_Buhar: All Nollywood Stars for Bola Ahmed Asiwaju for 2023 Presidential candidate..

#BAT2023 #BATSHET2023 https://t.co/02sgHME8yF",2022-10-13 09:13:57+00:00,0,,,,Abuja,#BATSHET2023
Gen_Buhar,"All Nollywood Stars for Bola Ahmed Asiwaju for 2023 Presidential candidate..

#BAT2023 #BATSHET2023 https://t.co/02sgHME8yF",2022-10-13 09:11:00+00:00,20,,,,Heaven ,#BATSHET2023
oluseed,"by the @MBuhari administration. So, do you still think #PitObi is a breath of fresh air? 😆😭😂

#BAT2023 #BATSHET2023 #TINUBU4PRESIDENT",2022-10-13 08:56:56+00:00,0,,,,Nigeria,#BATSHET2023
